,nazov
2023-04-28,"Piatok po 3. veľkonočnej nedeli [Biela] alebo Svätého Petra Chanela, kňaza a mučeníka [Červená] alebo Svätého Ľudovíta Máriu Grigniona z Montfortu, kňaza [Biela] (ľubovoľná spomienka)"
2023-04-29,"Svätej Kataríny Sienskej, panny a učiteľky Cirkvi, patrónky Európy [Biela] (sviatok)"
2023-04-30,4. veľkonočná nedeľa [Biela]
2023-05-01,"Pondelok po 4. veľkonočnej nedeli [Biela] alebo Svätého Jozefa, robotníka [Biela] (ľubovoľná spomienka)"
2023-05-02,"Svätého Atanáza, biskupa a učiteľa Cirkvi [Biela] (spomienka)"
2023-05-03,"Svätých Filipa a Jakuba, apoštolov [Červená] (sviatok)"
2023-05-04,"Štvrtok po 4. veľkonočnej nedeli [Biela] alebo Svätého Floriána, mučeníka [Červená] (ľubovoľná spomienka)"
2023-05-05,Piatok po 4. veľkonočnej nedeli [Biela]
2023-05-06,Sobota po 4. veľkonočnej nedeli [Biela]
2023-05-07,5. veľkonočná nedeľa [Biela]
2023-05-08,Pondelok po 5. veľkonočnej nedeli [Biela]
2023-05-09,Utorok po 5. veľkonočnej nedeli [Biela]
2023-05-10,"Streda po 5. veľkonočnej nedeli [Biela] alebo Svätého Jána z Avily, kňaza a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-05-11,"Štvrtok po 5. veľkonočnej nedeli [Biela] alebo Blahoslavenej Sáry Salkaháziovej, panny a mučenice [Červená] (ľubovoľná spomienka)"
2023-05-12,"Piatok po 5. veľkonočnej nedeli [Biela] alebo Svätých Nerea a Achila, mučeníkov [Červená] alebo Svätého Pankráca, mučeníka [Červená] (ľubovoľná spomienka)"
2023-05-13,Sobota po 5. veľkonočnej nedeli [Biela] alebo Blahoslavenej Panny Márie Fatimskej [Biela] (ľubovoľná spomienka)
2023-05-14,6. veľkonočná nedeľa [Biela]
2023-05-15,Pondelok po 6. veľkonočnej nedeli [Biela]
2023-05-16,"Svätého Jána Nepomuckého, kňaza a mučeníka [Červená] (spomienka)"
2023-05-17,Streda po 6. veľkonočnej nedeli [Biela]
2023-05-18,PRIKÁZANÁ SLÁVNOSŤ: Nanebovstúpenie Pána [Biela] (slávnosť)
2023-05-19,Piatok po 6. veľkonočnej nedeli [Biela]
2023-05-20,"Sobota po 6. veľkonočnej nedeli [Biela] alebo Svätého Bernardína Sienského, kňaza [Biela] (ľubovoľná spomienka)"
2023-05-21,7. veľkonočná nedeľa [Biela]
2023-05-22,"Pondelok po 7. veľkonočnej nedeli [Biela] alebo Svätej Rity z Cascie, rehoľníčky [Biela] (ľubovoľná spomienka)"
2023-05-23,Utorok po 7. veľkonočnej nedeli [Biela]
2023-05-24,Streda po 7. veľkonočnej nedeli [Biela]
2023-05-25,"Štvrtok po 7. veľkonočnej nedeli [Biela] alebo Svätého Bédu Ctihodného, kňaza a učiteľa Cirkvi [Biela] alebo Svätého Gregora VII., pápeža [Biela] alebo Svätej Márie Magdalény de’ Pazzi, panny [Biela] (ľubovoľná spomienka)"
2023-05-26,"Svätého Filipa Neriho, kňaza [Biela] (spomienka)"
2023-05-27,"Sobota po 7. veľkonočnej nedeli [Biela] alebo Svätého Augustína z Canterbury, biskupa [Biela] (ľubovoľná spomienka)"
2023-05-28,Zoslanie Ducha Svätého [Červená] (slávnosť)
2023-05-29,"Preblahoslavenej Panny Márie, Matky Cirkvi [Biela] (spomienka)"
2023-05-30,Utorok 8. týždňa v Cezročnom období [Zelená]
2023-05-31,Streda 8. týždňa v Cezročnom období [Zelená]
2023-06-01,"Nášho Pána Ježiša Krista, najvyššieho a večného kňaza [Biela] (sviatok)"
2023-06-02,"Piatok 8. týždňa v Cezročnom období [Zelená] alebo Svätých Marcelína a Petra, mučeníkov [Červená] (ľubovoľná spomienka)"
2023-06-03,"Svätých Karola Lwangu a spoločníkov, mučeníkov [Červená] (spomienka)"
2023-06-04,Najsvätejšej Trojice [Biela] (slávnosť)
2023-06-05,"Svätého Bonifáca, biskupa a mučeníka [Červená] (spomienka)"
2023-06-06,"Utorok 9. týždňa v Cezročnom období [Zelená] alebo Svätého Norberta, biskupa [Biela] (ľubovoľná spomienka)"
2023-06-07,Streda 9. týždňa v Cezročnom období [Zelená]
2023-06-08,PRIKÁZANÁ SLÁVNOSŤ: Najsvätejšieho Kristovho Tela a Krvi [Biela] (slávnosť)
2023-06-09,"Piatok 9. týždňa v Cezročnom období [Zelená] alebo Svätého Efréma, diakona a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-06-10,Sobota 9. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-06-11,10. nedeľa v Cezročnom období [Zelená]
2023-06-12,Pondelok 10. týždňa v Cezročnom období [Zelená]
2023-06-13,"Svätého Antona Paduánskeho, kňaza a učiteľa Cirkvi [Biela] (spomienka)"
2023-06-14,Streda 10. týždňa v Cezročnom období [Zelená]
2023-06-15,Štvrtok 10. týždňa v Cezročnom období [Zelená]
2023-06-16,Najsvätejšieho Srdca Ježišovho [Biela] (slávnosť)
2023-06-17,Nepoškvrneného Srdca Preblahoslavenej Panny Márie [Biela] (spomienka)
2023-06-18,11. nedeľa v Cezročnom období [Zelená]
2023-06-19,"Pondelok 11. týždňa v Cezročnom období [Zelená] alebo Svätého Romualda, opáta [Biela] (ľubovoľná spomienka)"
2023-06-20,Utorok 11. týždňa v Cezročnom období [Zelená]
2023-06-21,"Svätého Alojza Gonzágu, rehoľníka [Biela] (spomienka)"
2023-06-22,"Štvrtok 11. týždňa v Cezročnom období [Zelená] alebo Svätého Pavlína z Noly, biskupa [Biela] alebo Svätých Jána Fišera, biskupa, a Tomáša Morusa, mučeníkov [Červená] (ľubovoľná spomienka)"
2023-06-23,Piatok 11. týždňa v Cezročnom období [Zelená]
2023-06-24,Narodenie svätého Jána Krstiteľa [Biela] (slávnosť)
2023-06-25,12. nedeľa v Cezročnom období [Zelená]
2023-06-26,Pondelok 12. týždňa v Cezročnom období [Zelená]
2023-06-27,"Utorok 12. týždňa v Cezročnom období [Zelená] alebo Svätého Cyrila Alexandrijského, biskupa a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-06-28,"Svätého Ireneja, biskupa a učiteľa Cirkvi, mučeníka [Červená] (spomienka)"
2023-06-29,"PRIKÁZANÁ SLÁVNOSŤ: Svätých Petra a Pavla, apoštolov [Červená] (slávnosť)"
2023-06-30,Piatok 12. týždňa v Cezročnom období [Zelená] alebo Prvých svätých mučeníkov Cirkvi v Ríme [Červená] (ľubovoľná spomienka)
2023-07-01,Sobota 12. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-07-02,13. nedeľa v Cezročnom období [Zelená]
2023-07-03,"Svätého Tomáša, apoštola [Červená] (sviatok)"
2023-07-04,Utorok 13. týždňa v Cezročnom období [Zelená] alebo Svätej Alžbety Portugalskej [Biela] (ľubovoľná spomienka)
2023-07-05,"Svätých Cyrila a Metoda, slovanských vierozvestov [Biela] (slávnosť)"
2023-07-06,"Štvrtok 13. týždňa v Cezročnom období [Zelená] alebo Svätej Márie Goretti, panny a mučenice [Červená] (ľubovoľná spomienka)"
2023-07-07,"Piatok 13. týždňa v Cezročnom období [Zelená] alebo Svätého Antona Máriu Zaccariu, kňaza [Biela] (ľubovoľná spomienka)"
2023-07-08,Sobota 13. týždňa v Cezročnom období [Zelená] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-07-09,14. nedeľa v Cezročnom období [Zelená]
2023-07-10,Pondelok 14. týždňa v Cezročnom období [Zelená]
2023-07-11,"Svätého Benedikta, opáta, patróna Európy [Biela] (sviatok)"
2023-07-12,Streda 14. týždňa v Cezročnom období [Zelená]
2023-07-13,Štvrtok 14. týždňa v Cezročnom období [Zelená] alebo Svätého Henricha [Biela] (ľubovoľná spomienka)
2023-07-14,"Piatok 14. týždňa v Cezročnom období [Zelená] alebo Svätého Kamila z Lellisu, kňaza [Biela] (ľubovoľná spomienka)"
2023-07-15,"Svätého Bonaventúru, biskupa a učiteľa Cirkvi [Biela] (spomienka)"
2023-07-16,15. nedeľa v Cezročnom období [Zelená]
2023-07-17,"Svätých Andreja-Svorada a Benedikta, pustovníkov [Biela] (spomienka)"
2023-07-18,Utorok 15. týždňa v Cezročnom období [Zelená]
2023-07-19,Streda 15. týždňa v Cezročnom období [Zelená]
2023-07-20,"Štvrtok 15. týždňa v Cezročnom období [Zelená] alebo Svätého Apolinára, biskupa a mučeníka [Červená] (ľubovoľná spomienka)"
2023-07-21,"Piatok 15. týždňa v Cezročnom období [Zelená] alebo Svätého Vavrinca z Brindisi, kňaza a učiteľa Cirkvi [Biela] (ľubovoľná spomienka)"
2023-07-22,Svätej Márie Magdalény [Biela] (sviatok)
2023-07-23,16. nedeľa v Cezročnom období [Zelená]
2023-07-24,"Pondelok 16. týždňa v Cezročnom období [Zelená] alebo Svätého Šarbela Machlúfa, kňaza [Biela] (ľubovoľná spomienka)"
2023-07-25,"Svätého Jakuba, apoštola [Červená] (sviatok)"
2023-07-26,"Svätých Joachima a Anny, rodičov preblahoslavenej Panny Márie [Biela] (spomienka)"
2023-07-27,Svätých Gorazda a spoločníkov [Biela] (spomienka)
2023-07-28,Piatok 16. týždňa v Cezročnom období [Zelená]
2023-07-29,"Svätých Marty, Márie a Lazára [Biela] (spomienka)"
2023-07-30,17. nedeľa v Cezročnom období [Zelená]
2023-07-31,"Svätého Ignáca z Loyoly, kňaza [Biela] (spomienka)"
2023-08-01,"Svätého Alfonza Máriu de’ Liguori, biskupa a učiteľa Cirkvi [Biela] (spomienka)"
2023-08-02,"Streda 17. týždňa v Cezročnom období [Zelená] alebo Svätého Euzébia Vercellského, biskupa [Biela] alebo Svätého Petra Juliána Eymarda, kňaza [Biela] (ľubovoľná spomienka)"
2023-08-03,Štvrtok 17. týždňa v Cezročnom období [Zelená]
2023-08-04,"Svätého Jána Máriu Vianneya, kňaza [Biela] (spomienka)"
2023-08-05,Sobota 17. týždňa v Cezročnom období [Zelená] alebo Výročie posviacky hlavnej mariánskej baziliky v Ríme [Biela] alebo Preblahoslavenej Panny Márie v sobotu [Biela] (ľubovoľná spomienka)
2023-08-06,Premenenie Pána [Biela] (sviatok)
